DATE,R2K,R3K
02/11/2006,7068.92,
02/23/2006,7068.402,7047.667
03/02/2006,7068.315,
03/08/2006,7068.214,7047.378
03/14/2006,7068.048,7047.322
03/22/2006,7067.846,7047.123
03/25/2006,7067.756,7047.036
03/26/2006,7067.743,7047.025
03/28/2006,7067.645,
03/29/2006,7067.635,
03/30/2006,7067.617,7046.903
03/31/2006,7067.612,
04/02/2006,7067.554,
04/03/2006,7067.503,7046.795
04/05/2006,7067.384,7046.682
04/07/2006,7067.327,7046.617
04/08/2006,7067.300,
04/09/2006,7067.248,7046.553
04/10/2006,7067.187,
04/11/2006,7067.136,7046.453
04/12/2006,7067.036,
04/13/2006,7066.998,
04/14/2006,7066.944,
04/15/2006,7066.931,7046.268
04/17/2006,7066.789,7046.078
04/18/2006,7066.693,7046.028
04/19/2006,7066.547,
04/20/2006,7066.53,7045.968
04/21/2006,7066.49,
04/22/2006,7066.36,7045.809
04/23/2006,7066.31,7045.727
04/24/2006,7066.22,7045.656
04/25/2006,7066.18,7045.620
04/27/2006,7066.19,7045.631
04/28/2006,7066.16,7045.609
04/29/2006,7066.16,7045.603
04/30/2006,7066.17,7045.617